team,position,avg_pts_allowed,sos_rank
ARI,CB,2.8,3
ARI,FB,6.033333,2
ARI,QB,16.441177,4
ARI,RB,9.048838,14
ARI,TE,4.7457147,30
ARI,WR,7.9927535,26
ATL,CB,-0.1,6
ATL,FB,1.7000002,18
ATL,P,0.06,5
ATL,QB,17.862106,1
ATL,RB,8.404651,22
ATL,TE,6.22353,16
ATL,WR,9.910313,2
BAL,FB,3.0,11
BAL,G,1.0,2
BAL,QB,13.833636,14
BAL,RB,7.315909,30
BAL,TE,6.2685714,13
BAL,WR,8.970724,10
BUF,FB,-0.9499999,30
BUF,FS,0.2,4
BUF,G,1.5,1
BUF,QB,12.104545,27
BUF,RB,9.995349,6
BUF,T,7.9,1
BUF,TE,5.7216215,23
BUF,WR,8.587878,16
CAR,FB,1.9,14
CAR,P,0.61,3
CAR,QB,15.125217,9
CAR,RB,12.161904,1
CAR,TE,7.423529,4
CAR,WR,8.873031,12
CHI,CB,6.0,1
CHI,FB,0.65,26
CHI,QB,10.189091,32
CHI,RB,9.284782,12
CHI,SS,6.0,1
CHI,T,0.0,5
CHI,TE,6.509375,11
CHI,WR,7.456061,29
CIN,FB,1.5,20
CIN,P,0.0,6
CIN,QB,14.601818,12
CIN,RB,8.531818,19
CIN,T,7.1,3
CIN,TE,8.077144,2
CIN,WR,7.8147063,28
CLE,FB,4.1,7
CLE,FS,6.0,1
CLE,QB,12.96087,21
CLE,RB,7.3744187,29
CLE,TE,6.1057897,19
CLE,WR,9.26,6
DAL,FB,0.85,23
DAL,QB,15.439131,7
DAL,RB,9.144186,13
DAL,T,0.0,5
DAL,TE,5.667742,24
DAL,WR,9.286364,5
DEN,FB,4.65,5
DEN,MLB,4.4,1
DEN,P,0.68,1
DEN,QB,11.631304,29
DEN,RB,8.421429,21
DEN,SS,0.0,6
DEN,TE,5.625,25
DEN,WR,8.026866,25
DET,FB,7.9,1
DET,QB,15.661053,5
DET,RB,8.942857,15
DET,TE,4.696875,31
DET,WR,9.575758,4
GB,FB,3.1333332,10
GB,QB,13.286667,18
GB,RB,9.3525,11
GB,TE,6.114286,18
GB,WR,8.277778,23
HOU,FS,1.4,3
HOU,P,0.16,4
HOU,QB,13.71238,17
HOU,RB,7.4,28
HOU,TE,5.330556,26
HOU,WR,8.638805,15
IND,FB,1.4,21
IND,QB,15.421053,8
IND,RB,8.815217,17
IND,TE,6.910811,6
IND,WR,8.387941,20
JAX,FB,0.9,22
JAX,QB,15.506364,6
JAX,RB,10.068889,4
JAX,SS,2.1,2
JAX,TE,6.0526314,20
JAX,WR,8.858592,13
KC,FB,0.85,23
KC,QB,13.72381,16
KC,RB,6.690244,31
KC,TE,7.675758,3
KC,WR,8.458209,19
LA,CB,0.5,4
LA,FB,1.6,19
LA,QB,14.897,11
LA,RB,9.618918,9
LA,T,7.4,2
LA,TE,8.096875,1
LA,WR,9.613792,3
LAC,FB,5.45,3
LAC,QB,12.83619,23
LAC,RB,7.653659,27
LAC,TE,4.800526,28
LAC,WR,9.126229,8
LV,FB,0.71999997,25
LV,QB,16.769999,3
LV,RB,8.771428,18
LV,TE,6.761539,8
LV,WR,8.332307,21
MIA,FB,3.6,9
MIA,QB,12.355789,25
MIA,RB,8.929269,16
MIA,TE,6.5499997,10
MIA,WR,7.326761,30
MIN,FB,4.9,4
MIN,OLB,0.1,1
MIN,QB,12.938947,22
MIN,RB,8.464103,20
MIN,SS,0.2,4
MIN,TE,6.2580647,14
MIN,WR,10.101765,1
NE,FB,2.9666665,12
NE,P,0.0,6
NE,QB,13.193334,20
NE,RB,9.936585,7
NE,TE,5.8911767,21
NE,WR,8.6640625,14
NO,FB,1.9,14
NO,P,0.0,6
NO,QB,12.327273,26
NO,RB,9.672092,8
NO,TE,6.203226,17
NO,WR,8.458904,18
NYG,FB,1.9,14
NYG,QB,13.86,13
NYG,RB,10.4775,2
NYG,TE,4.7727275,29
NYG,WR,8.302899,22
NYJ,FB,3.7400002,8
NYJ,QB,12.000869,28
NYJ,RB,7.8166666,25
NYJ,TE,4.9675674,27
NYJ,WR,8.1,24
PHI,FB,0.55,27
PHI,QB,11.179091,31
PHI,RB,6.592857,32
PHI,SS,1.0,3
PHI,TE,5.751852,22
PHI,WR,7.247945,31
PIT,FB,2.0,13
PIT,QB,13.207369,19
PIT,RB,8.212195,23
PIT,TE,6.7777777,7
PIT,WR,8.474242,17
SEA,FB,4.28,6
SEA,QB,13.786,15
SEA,RB,7.7630434,26
SEA,TE,6.7413793,9
SEA,WR,9.155238,7
SF,CB,6.0,1
SF,FB,0.2,28
SF,QB,12.697142,24
SF,RB,10.319048,3
SF,SS,0.1,5
SF,TE,6.2428575,15
SF,WR,7.8865676,27
TB,FB,0.0,29
TB,ILB,6.0,1
TB,P,0.68,1
TB,QB,16.864,2
TB,RB,7.9738092,24
TB,TE,7.138235,5
TB,WR,9.054412,9
TEN,DE,7.2,1
TEN,QB,14.948421,10
TEN,RB,9.38,10
TEN,TE,4.0552635,32
TEN,WR,6.9575343,32
WAS,CB,0.0,5
WAS,FB,1.75,17
WAS,FS,6.0,1
WAS,QB,11.427826,30
WAS,RB,10.018919,5
WAS,SS,0.0,6
WAS,T,1.0,4
WAS,TE,6.4068966,12
WAS,WR,8.913771,11
